,be,al,chisq,hobs
74,0.1,-0.402565892796682,11087371.415902562,289.650069898404
75,0.1,-0.3867789950399494,11403774.779721629,293.7176849222482
76,0.1,-0.3709920972832168,11714703.973841278,297.6572796550226
77,0.1,-0.3552051995264842,12019434.717665087,301.4648893393987
78,0.1,-0.3394183017697514,12317272.390946757,305.13668318993274
79,0.1,-0.3236314040130188,12607519.481987987,308.66896807674726
80,0.1,-0.30784450625628623,12889490.39817776,312.05819208317513
81,0.1,-0.29205760849955364,13162514.048359338,315.30094793290556
82,0.1,-0.27627071074282106,13425935.952857612,318.3939762824132
83,0.1,-0.26048381298608825,13679120.458650274,321.3341688746561
84,0.1,-0.24469691522935566,13921452.79968606,324.1185715502408
85,0.1,-0.22891001747262307,14152341.189294714,326.74438711246165
86,0.1,-0.21312311971589049,14371218.802125342,329.2089780428258
87,0.1,-0.1973362219591579,14577545.824939352,331.5098690638807
88,0.1,-0.1815493242024253,14770810.539459294,333.64474954635654
89,0.1,-0.1657624264456925,14950532.4222012,335.6114757578391
90,0.1,-0.1499755286889599,15116262.75195077,337.4080729503937
91,0.1,-0.13418863093222733,15267586.382056935,339.0327372847422
92,0.1,-0.11840173317549474,15404123.181139877,340.4838375888143
93,0.1,-0.10261483541876215,15525529.332054574,341.75991694866894
94,0.1,-0.08682793766202934,15631498.507303491,342.85969413000043
95,0.1,-0.07104103990529675,15721760.932740027,343.78206482862
96,0.1,-0.05525414214856417,15796098.314758942,344.5261027485133
97,0.1,-0.03946724439183158,15854314.394517926,345.0910605062713
98,0.1,-0.023680346635098992,15896261.726283563,345.4763703608737
99,0.1,-0.007893448878366183,15921834.276625257,345.68164476802184
100,0.1,0.007893448878366405,15930967.785840213,345.706676758394
101,0.1,0.023680346635098992,15923639.979568478,345.55144013941106
102,0.1,0.03946724439183158,15899870.632512437,345.2160895202799
103,0.1,0.05525414214856417,15859721.486649867,344.7009601602899
104,0.1,0.07104103990529698,15803296.026271893,344.00656764053633
105,0.1,0.08682793766202956,15730739.111983359,343.1336073594225
106,0.1,0.10261483541876215,15642236.48949764,342.0829538525194
107,0.1,0.11840173317549474,15538014.157107841,340.85565993752743
108,0.1,0.13418863093222733,15418337.462466557,339.4529556853026
109,0.1,0.1499755286889599,15283510.365720738,337.87624721809635
110,0.1,0.16576242644569272,15133874.338309864,336.1271153363577
111,0.1,0.1815493242024253,14969807.203861697,334.2073139756423
112,0.1,0.1973362219591579,14791721.859089915,332.11876849537106
113,0.1,0.21312311971589049,14600064.88452088,329.8635738013726
114,0.1,0.22891001747262307,14395315.035773765,327.4439923043529
